Terrain,Scanner,Workflow,GT_ID,Tree_ID,segment_id,Attribute,QC_stage,GT_value,Predicted_value,Error,Absolute_error
Intermediate,Single sensor,3DFin,22,15.0,,TH,Post-QC,21.3,22.53048254341431,1.2304825434143076,1.2304825434143076
Intermediate,Dual sensor,3DFin,22,16.0,,TH,Post-QC,21.3,22.65308261868543,1.3530826186854306,1.3530826186854306
Intermediate,Hovermap,3DFin,22,15.0,,TH,Post-QC,21.3,23.31387900326293,2.0138790032629292,2.0138790032629292
Intermediate,Single sensor,RCT,22,,6.0,TH,Post-QC,21.3,21.9969,0.6968999999999994,0.6968999999999994
Intermediate,Dual sensor,RCT,22,,7.0,TH,Post-QC,21.3,22.6874,1.3873999999999995,1.3873999999999995
Intermediate,Hovermap,RCT,22,,6.0,TH,Post-QC,21.3,23.4332,2.1331999999999987,2.1331999999999987
Intermediate,Single sensor,3DFin,22,15.0,,DBH,Post-QC,0.325,0.3284338772108373,0.003433877210837266,0.003433877210837266
Intermediate,Dual sensor,3DFin,22,16.0,,DBH,Post-QC,0.325,0.3453775038230652,0.02037750382306519,0.02037750382306519
Intermediate,Hovermap,3DFin,22,15.0,,DBH,Post-QC,0.325,0.3539235853180208,0.028923585318020806,0.028923585318020806
Intermediate,Single sensor,RCT,22,,6.0,DBH,Post-QC,0.325,0.311,-0.014000000000000012,0.014000000000000012
Intermediate,Dual sensor,RCT,22,,7.0,DBH,Post-QC,0.325,0.3108,-0.01419999999999999,0.01419999999999999
Intermediate,Hovermap,RCT,22,,6.0,DBH,Post-QC,0.325,0.3006,-0.024400000000000036,0.024400000000000036
Intermediate,Single sensor,3DFin,23,17.0,,DBH,Post-QC,0.278,0.3251223079932623,0.04712230799326228,0.04712230799326228
Intermediate,Dual sensor,3DFin,23,20.0,,DBH,Post-QC,0.278,0.3199719774979611,0.041971977497961055,0.041971977497961055
Intermediate,Hovermap,3DFin,23,18.0,,DBH,Post-QC,0.278,0.3131751615112873,0.0351751615112873,0.0351751615112873
Intermediate,Single sensor,RCT,23,,4.0,DBH,Post-QC,0.278,0.2654,-0.0126,0.0126
Intermediate,Dual sensor,RCT,23,,4.0,DBH,Post-QC,0.278,0.264,-0.014000000000000012,0.014000000000000012
Intermediate,Hovermap,RCT,23,,4.0,DBH,Post-QC,0.278,0.258,-0.020000000000000014,0.020000000000000014
Intermediate,Single sensor,3DFin,25,20.0,,TH,Post-QC,18.3,20.1417307221057,1.8417307221056982,1.8417307221056982
Intermediate,Dual sensor,3DFin,25,21.0,,TH,Post-QC,18.3,19.956463378246287,1.65646337824629,1.65646337824629
Intermediate,Hovermap,3DFin,25,20.0,,TH,Post-QC,18.3,20.18621085641803,1.886210856418028,1.886210856418028
Intermediate,Single sensor,RCT,25,,0.0,TH,Post-QC,18.3,20.9365,2.636499999999998,2.636499999999998
Intermediate,Dual sensor,RCT,25,,0.0,TH,Post-QC,18.3,21.1375,2.8374999999999986,2.8374999999999986
Intermediate,Hovermap,RCT,25,,0.0,TH,Post-QC,18.3,20.7787,2.4787,2.4787
Intermediate,Single sensor,3DFin,25,20.0,,DBH,Post-QC,0.258,0.3012578070494967,0.04325780704949666,0.04325780704949666
Intermediate,Dual sensor,3DFin,25,21.0,,DBH,Post-QC,0.258,0.2901884513279337,0.03218845132793369,0.03218845132793369
Intermediate,Hovermap,3DFin,25,20.0,,DBH,Post-QC,0.258,0.2973587266716135,0.0393587266716135,0.0393587266716135
