Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Intermediate,Hovermap,17,8,20.4,21.8508,21.8508,1.450800000000001,1.450800000000001,1.450800000000001,1.450800000000001,0.0,0.21600000000000003,0.1894,0.1894,-0.026600000000000013,-0.026600000000000013,0.026600000000000013,0.026600000000000013,0.0,original,
Intermediate,Hovermap,16,9,21.0,21.7834,21.7834,0.7834000000000003,0.7834000000000003,0.7834000000000003,0.7834000000000003,0.0,0.28600000000000003,0.2918,0.2918,0.005799999999999972,0.005799999999999972,0.005799999999999972,0.005799999999999972,0.0,original,
Intermediate,Hovermap,18,11,22.0,23.2197,23.2197,1.2196999999999996,1.2196999999999996,1.2196999999999996,1.2196999999999996,0.0,0.20600000000000002,0.18,0.18,-0.026000000000000023,-0.026000000000000023,0.026000000000000023,0.026000000000000023,0.0,original,
Intermediate,Hovermap,15,14,19.5,22.0936,21.331,2.5935999999999986,1.8309999999999995,2.5935999999999986,1.8309999999999995,-0.7625999999999991,0.233,0.1963,0.2274,-0.03670000000000001,-0.005600000000000022,0.03670000000000001,0.005600000000000022,-0.03109999999999999,cleaned,INT_H_15_GT14_clean.ply
Intermediate,Hovermap,11,15,19.8,21.4769,19.5764,1.6768999999999998,-0.22360000000000113,1.6768999999999998,0.22360000000000113,-1.4532999999999987,0.257,0.1976,0.2374,-0.05940000000000001,-0.019600000000000006,0.05940000000000001,0.019600000000000006,-0.0398,cleaned,INT_H_11_GT15_clean.ply
Intermediate,Hovermap,5,16,18.0,19.3321,18.6091,1.3321000000000005,0.6091000000000015,1.3321000000000005,0.6091000000000015,-0.722999999999999,0.18,0.1482,0.1824,-0.031799999999999995,0.0024000000000000132,0.031799999999999995,0.0024000000000000132,-0.02939999999999998,cleaned,INT_H_5_GT16_clean.ply
Intermediate,Hovermap,8,17,21.8,22.9717,22.9717,1.1716999999999977,1.1716999999999977,1.1716999999999977,1.1716999999999977,0.0,0.33899999999999997,0.2305,0.2305,-0.10849999999999996,-0.10849999999999996,0.10849999999999996,0.10849999999999996,0.0,original,
Intermediate,Hovermap,3,19,21.4,22.9713,21.9372,1.5713000000000008,0.5372000000000021,1.5713000000000008,0.5372000000000021,-1.0340999999999987,0.307,0.2532,0.289,-0.053800000000000014,-0.018000000000000016,0.053800000000000014,0.018000000000000016,-0.0358,cleaned,INT_H_3_GT19_clean.ply
Intermediate,Hovermap,1,20,20.5,21.0326,21.0326,0.5325999999999986,0.5325999999999986,0.5325999999999986,0.5325999999999986,0.0,0.349,0.2895,0.2895,-0.0595,-0.0595,0.0595,0.0595,0.0,original,
Intermediate,Hovermap,6,22,21.3,23.4332,23.4332,2.1331999999999987,2.1331999999999987,2.1331999999999987,2.1331999999999987,0.0,0.325,0.3006,0.3006,-0.024400000000000033,-0.024400000000000033,0.024400000000000033,0.024400000000000033,0.0,original,
